Time,Datastream Name,Value
2022-03-22 04:54:00,Relative Humidity,36.0
2022-03-22 04:54:00,Fine Particles 2_5,15.0
2022-03-22 04:54:00,Fine Particles 10,26.0
2022-03-22 04:54:00,ABC Status,1.0
2022-03-22 04:52:00,CO2,481.0
2022-03-22 04:52:00,PRESSURE,1038.0
2022-03-22 04:52:00,Temperature,18.0
2022-03-22 04:52:00,Relative Humidity,36.0
2022-03-22 04:52:00,Fine Particles 2_5,15.0
2022-03-22 04:52:00,Fine Particles 10,26.0
2022-03-22 04:52:00,ABC Status,1.0
2022-03-22 04:50:00,CO2,484.0
2022-03-22 04:50:00,PRESSURE,1038.0
2022-03-22 04:50:00,Temperature,18.0
2022-03-22 04:50:00,Relative Humidity,36.0
2022-03-22 04:50:00,Fine Particles 2_5,15.0
2022-03-22 04:50:00,Fine Particles 10,26.0
2022-03-22 04:50:00,ABC Status,1.0
2022-03-22 04:48:00,CO2,485.0
2022-03-22 04:48:00,PRESSURE,1038.0
2022-03-22 04:48:00,Temperature,18.0
2022-03-22 04:48:00,Relative Humidity,36.0
2022-03-22 04:48:00,Fine Particles 2_5,17.0
2022-03-22 04:48:00,Fine Particles 10,29.0
2022-03-22 04:48:00,ABC Status,1.0
2022-03-22 04:46:00,CO2,481.0
2022-03-22 04:46:00,PRESSURE,1038.0
2022-03-22 04:46:00,Temperature,18.0
2022-03-22 04:46:00,Relative Humidity,36.0
2022-03-22 04:46:00,Fine Particles 2_5,14.0
2022-03-22 04:46:00,Fine Particles 10,24.0
2022-03-22 04:46:00,ABC Status,1.0
2022-03-22 04:44:00,CO2,477.0
2022-03-22 04:44:00,PRESSURE,1038.0
2022-03-22 04:44:00,Temperature,18.0
2022-03-22 04:44:00,Relative Humidity,36.0
2022-03-22 04:44:00,Fine Particles 2_5,15.0
2022-03-22 04:44:00,Fine Particles 10,26.0
2022-03-22 04:44:00,ABC Status,1.0
2022-03-22 04:42:00,CO2,477.0
2022-03-22 04:42:00,PRESSURE,1038.0
2022-03-22 04:42:00,Temperature,18.0
2022-03-22 04:42:00,Relative Humidity,36.0
2022-03-22 04:42:00,Fine Particles 2_5,17.0
2022-03-22 04:42:00,Fine Particles 10,29.0
2022-03-22 04:42:00,ABC Status,1.0
2022-03-22 04:40:00,CO2,476.0
2022-03-22 04:40:00,PRESSURE,1038.0
2022-03-22 04:40:00,Temperature,18.0
2022-03-22 04:40:00,Relative Humidity,36.0
2022-03-22 04:40:00,Fine Particles 2_5,15.0
2022-03-22 04:40:00,Fine Particles 10,26.0
2022-03-22 04:40:00,ABC Status,1.0
2022-03-22 04:38:00,CO2,482.0
2022-03-22 04:38:00,PRESSURE,1038.0
2022-03-22 04:38:00,Temperature,18.0
2022-03-22 04:38:00,Relative Humidity,36.0
2022-03-22 04:38:00,Fine Particles 2_5,15.0
