Time,Datastream Name,Value
2022-03-26 22:50:00,Relative Humidity,28.0
2022-03-26 22:50:00,Fine Particles 2_5,5.0
2022-03-26 22:50:00,Fine Particles 10,9.0
2022-03-26 22:50:00,ABC Status,1.0
2022-03-26 22:48:00,CO2,403.0
2022-03-26 22:48:00,PRESSURE,1038.0
2022-03-26 22:48:00,Temperature,21.0
2022-03-26 22:48:00,Relative Humidity,28.0
2022-03-26 22:48:00,Fine Particles 2_5,5.0
2022-03-26 22:48:00,Fine Particles 10,9.0
2022-03-26 22:48:00,ABC Status,1.0
2022-03-26 22:46:00,CO2,402.0
2022-03-26 22:46:00,PRESSURE,1038.0
2022-03-26 22:46:00,Temperature,21.0
2022-03-26 22:46:00,Relative Humidity,28.0
2022-03-26 22:46:00,Fine Particles 2_5,5.0
2022-03-26 22:46:00,Fine Particles 10,8.0
2022-03-26 22:46:00,ABC Status,1.0
2022-03-26 22:44:00,CO2,400.0
2022-03-26 22:44:00,PRESSURE,1038.0
2022-03-26 22:44:00,Temperature,21.0
2022-03-26 22:44:00,Relative Humidity,28.0
2022-03-26 22:44:00,Fine Particles 2_5,5.0
2022-03-26 22:44:00,Fine Particles 10,8.0
2022-03-26 22:44:00,ABC Status,1.0
2022-03-26 22:42:00,CO2,403.0
2022-03-26 22:42:00,PRESSURE,1038.0
2022-03-26 22:42:00,Temperature,21.0
2022-03-26 22:42:00,Relative Humidity,28.0
2022-03-26 22:42:00,Fine Particles 2_5,4.0
2022-03-26 22:42:00,Fine Particles 10,7.0
2022-03-26 22:42:00,ABC Status,1.0
2022-03-26 22:40:00,CO2,406.0
2022-03-26 22:40:00,PRESSURE,1038.0
2022-03-26 22:40:00,Temperature,21.0
2022-03-26 22:40:00,Relative Humidity,28.0
2022-03-26 22:40:00,Fine Particles 2_5,5.0
2022-03-26 22:40:00,Fine Particles 10,9.0
2022-03-26 22:40:00,ABC Status,1.0
2022-03-26 22:38:00,CO2,408.0
2022-03-26 22:38:00,PRESSURE,1038.0
2022-03-26 22:38:00,Temperature,21.0
2022-03-26 22:38:00,Relative Humidity,28.0
2022-03-26 22:38:00,Fine Particles 2_5,5.0
2022-03-26 22:38:00,Fine Particles 10,9.0
2022-03-26 22:38:00,ABC Status,1.0
2022-03-26 22:36:00,CO2,414.0
2022-03-26 22:36:00,PRESSURE,1038.0
2022-03-26 22:36:00,Temperature,21.0
2022-03-26 22:36:00,Relative Humidity,28.0
2022-03-26 22:36:00,Fine Particles 2_5,4.0
2022-03-26 22:36:00,Fine Particles 10,7.0
2022-03-26 22:36:00,ABC Status,1.0
2022-03-26 22:34:00,CO2,407.0
2022-03-26 22:34:00,PRESSURE,1038.0
2022-03-26 22:34:00,Temperature,21.0
2022-03-26 22:34:00,Relative Humidity,28.0
2022-03-26 22:34:00,Fine Particles 2_5,5.0
2022-03-26 22:34:00,Fine Particles 10,9.0
2022-03-26 22:34:00,ABC Status,1.0
2022-03-26 22:32:00,CO2,402.0
2022-03-26 22:32:00,PRESSURE,1038.0
2022-03-26 22:32:00,Temperature,21.0
2022-03-26 22:32:00,Relative Humidity,28.0
2022-03-26 22:32:00,Fine Particles 2_5,4.0
2022-03-26 22:32:00,Fine Particles 10,7.0
2022-03-26 22:32:00,ABC Status,1.0
2022-03-26 22:30:00,CO2,401.0
2022-03-26 22:30:00,PRESSURE,1038.0
2022-03-26 22:30:00,Temperature,21.0
2022-03-26 22:30:00,Relative Humidity,28.0
2022-03-26 22:30:00,Fine Particles 2_5,5.0
2022-03-26 22:30:00,Fine Particles 10,8.0
2022-03-26 22:30:00,ABC Status,1.0
2022-03-26 22:28:00,CO2,400.0
2022-03-26 22:28:00,PRESSURE,1037.0
2022-03-26 22:28:00,Temperature,21.0
2022-03-26 22:28:00,Relative Humidity,28.0
2022-03-26 22:28:00,Fine Particles 2_5,5.0
2022-03-26 22:28:00,Fine Particles 10,9.0
2022-03-26 22:28:00,ABC Status,1.0
2022-03-26 22:26:00,CO2,400.0
2022-03-26 22:26:00,PRESSURE,1038.0
2022-03-26 22:26:00,Temperature,21.0
2022-03-26 22:26:00,Relative Humidity,28.0
2022-03-26 22:26:00,Fine Particles 2_5,5.0
2022-03-26 22:26:00,Fine Particles 10,9.0
2022-03-26 22:26:00,ABC Status,1.0
2022-03-26 22:24:00,CO2,400.0
2022-03-26 22:24:00,PRESSURE,1038.0
2022-03-26 22:24:00,Temperature,21.0
2022-03-26 22:24:00,Relative Humidity,28.0
2022-03-26 22:24:00,Fine Particles 2_5,4.0
2022-03-26 22:24:00,Fine Particles 10,7.0
2022-03-26 22:24:00,ABC Status,1.0
2022-03-26 22:22:00,CO2,402.0
2022-03-26 22:22:00,PRESSURE,1038.0
2022-03-26 22:22:00,Temperature,21.0
2022-03-26 22:22:00,Relative Humidity,28.0
2022-03-26 22:22:00,Fine Particles 2_5,4.0
2022-03-26 22:22:00,Fine Particles 10,7.0
2022-03-26 22:22:00,ABC Status,1.0
2022-03-26 22:20:00,CO2,402.0
2022-03-26 22:20:00,PRESSURE,1037.0
2022-03-26 22:20:00,Temperature,21.0
2022-03-26 22:20:00,Relative Humidity,28.0
2022-03-26 22:20:00,Fine Particles 2_5,5.0
2022-03-26 22:20:00,Fine Particles 10,8.0
2022-03-26 22:20:00,ABC Status,1.0
2022-03-26 22:18:00,CO2,402.0
2022-03-26 22:18:00,PRESSURE,1037.0
2022-03-26 22:18:00,Temperature,21.0
2022-03-26 22:18:00,Relative Humidity,28.0
2022-03-26 22:18:00,Fine Particles 2_5,4.0
2022-03-26 22:18:00,Fine Particles 10,7.0
2022-03-26 22:18:00,ABC Status,1.0
2022-03-26 22:16:00,CO2,404.0
2022-03-26 22:16:00,PRESSURE,1037.0
2022-03-26 22:16:00,Temperature,21.0
2022-03-26 22:16:00,Relative Humidity,28.0
2022-03-26 22:16:00,Fine Particles 2_5,5.0
2022-03-26 22:16:00,Fine Particles 10,9.0
2022-03-26 22:16:00,ABC Status,1.0
2022-03-26 22:14:00,CO2,400.0
2022-03-26 22:14:00,PRESSURE,1037.0
2022-03-26 22:14:00,Temperature,21.0
2022-03-26 22:14:00,Relative Humidity,28.0
2022-03-26 22:14:00,Fine Particles 2_5,5.0
2022-03-26 22:14:00,Fine Particles 10,9.0
2022-03-26 22:14:00,ABC Status,1.0
2022-03-26 22:12:00,CO2,400.0
2022-03-26 22:12:00,PRESSURE,1037.0
2022-03-26 22:12:00,Temperature,21.0
2022-03-26 22:12:00,Relative Humidity,28.0
2022-03-26 22:12:00,Fine Particles 2_5,5.0
2022-03-26 22:12:00,Fine Particles 10,9.0
2022-03-26 22:12:00,ABC Status,1.0
2022-03-26 22:10:00,CO2,400.0
2022-03-26 22:10:00,PRESSURE,1037.0
2022-03-26 22:10:00,Temperature,21.0
2022-03-26 22:10:00,Relative Humidity,28.0
2022-03-26 22:10:00,Fine Particles 2_5,5.0
2022-03-26 22:10:00,Fine Particles 10,9.0
2022-03-26 22:10:00,ABC Status,1.0
2022-03-26 22:08:00,CO2,400.0
2022-03-26 22:08:00,PRESSURE,1037.0
2022-03-26 22:08:00,Temperature,21.0
2022-03-26 22:08:00,Relative Humidity,28.0
2022-03-26 22:08:00,Fine Particles 2_5,5.0
2022-03-26 22:08:00,Fine Particles 10,9.0
2022-03-26 22:08:00,ABC Status,1.0
2022-03-26 22:06:00,CO2,402.0
2022-03-26 22:06:00,PRESSURE,1037.0
2022-03-26 22:06:00,Temperature,21.0
2022-03-26 22:06:00,Relative Humidity,28.0
2022-03-26 22:06:00,Fine Particles 2_5,5.0
2022-03-26 22:06:00,Fine Particles 10,9.0
2022-03-26 22:06:00,ABC Status,1.0
2022-03-26 22:04:00,CO2,403.0
2022-03-26 22:04:00,PRESSURE,1038.0
2022-03-26 22:04:00,Temperature,21.0
2022-03-26 22:04:00,Relative Humidity,28.0
2022-03-26 22:04:00,Fine Particles 2_5,5.0
2022-03-26 22:04:00,Fine Particles 10,9.0
2022-03-26 22:04:00,ABC Status,1.0
2022-03-26 22:02:00,CO2,401.0
2022-03-26 22:02:00,PRESSURE,1038.0
2022-03-26 22:02:00,Temperature,21.0
2022-03-26 22:02:00,Relative Humidity,28.0
2022-03-26 22:02:00,Fine Particles 2_5,5.0
2022-03-26 22:02:00,Fine Particles 10,8.0
2022-03-26 22:02:00,ABC Status,1.0
2022-03-26 22:00:00,CO2,400.0
2022-03-26 22:00:00,PRESSURE,1037.0
2022-03-26 22:00:00,Temperature,21.0
2022-03-26 22:00:00,Relative Humidity,28.0
2022-03-26 22:00:00,Fine Particles 2_5,4.0
2022-03-26 22:00:00,Fine Particles 10,7.0
2022-03-26 22:00:00,ABC Status,1.0
2022-03-26 21:58:00,CO2,400.0
2022-03-26 21:58:00,PRESSURE,1037.0
2022-03-26 21:58:00,Temperature,21.0
2022-03-26 21:58:00,Relative Humidity,28.0
