station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EHBK,2022-06-17 09:55,77.00,51.80,41.42,210.00,8.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,EHBK 170955Z AUTO 21008KT 150V250 9999 NSC 25/11 Q1023 NOSIG,M
EHBK,2022-06-17 10:25,78.80,51.80,39.02,180.00,6.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,EHBK 171025Z AUTO 18006KT 110V240 9999 NSC 26/11 Q1023 NOSIG,M
EHBK,2022-06-17 10:55,78.80,50.00,36.51,190.00,4.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,EHBK 171055Z AUTO 19004KT 130V270 9999 NSC 26/10 Q1023 NOSIG,M
EHBK,2022-06-17 11:25,80.60,48.20,32.18,180.00,7.00,0.00,30.21,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.71,EHBK 171125Z AUTO 18007KT 120V220 9999 NCD 27/09 Q1023 NOSIG,M
EHBK,2022-06-17 11:55,82.40,48.20,30.35,M,6.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.80,EHBK 171155Z AUTO VRB06KT 9999 NSC 28/09 Q1023 NOSIG,M
EHBK,2022-06-17 12:25,82.40,50.00,32.46,240.00,5.00,0.00,30.18,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.99,EHBK 171225Z AUTO 24005KT 170V290 9999 NSC 28/10 Q1022 NOSIG,M
EHBK,2022-06-17 12:55,84.20,50.00,30.62,200.00,7.00,0.00,30.18,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.24,EHBK 171255Z AUTO 20007KT 120V280 9999 NSC 29/10 Q1022 NOSIG,M
EHBK,2022-06-17 13:25,84.20,50.00,30.62,210.00,8.00,0.00,30.18,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.24,EHBK 171325Z AUTO 21008KT 160V250 9999 NSC 29/10 Q1022 NOSIG,M
EHBK,2022-06-17 13:55,84.20,50.00,30.62,210.00,8.00,0.00,30.18,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.24,EHBK 171355Z AUTO 21008KT 160V240 9999 NSC 29/10 Q1022 NOSIG,M
EHBK,2022-06-17 14:25,84.20,55.40,37.35,250.00,8.00,0.00,30.15,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.09,EHBK 171425Z AUTO 25008KT 230V330 9999 NSC 29/13 Q1021 NOSIG,M
EHBK,2022-06-17 14:55,84.20,53.60,34.97,250.00,8.00,0.00,30.15,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.76,EHBK 171455Z AUTO 25008KT 210V310 9999 NSC 29/12 Q1021 NOSIG,M
EHBK,2022-06-17 15:25,84.20,53.60,34.97,250.00,8.00,0.00,30.15,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.76,EHBK 171525Z AUTO 25008KT 220V310 9999 NSC 29/12 Q1021 NOSIG,M
EHBK,2022-06-17 15:55,86.00,55.40,35.25,250.00,8.00,0.00,30.15,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.54,EHBK 171555Z AUTO 25008KT 210V290 9999 NSC 30/13 Q1021 NOSIG,M
EHBK,2022-06-17 16:25,86.00,55.40,35.25,240.00,9.00,0.00,30.15,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.54,EHBK 171625Z AUTO 24009KT 200V300 9999 NSC 30/13 Q1021 NOSIG,M
EHBK,2022-06-17 16:55,84.20,53.60,34.97,250.00,8.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.76,EHBK 171655Z AUTO 25008KT 220V290 9999 NSC 29/12 Q1020 NOSIG,M
EHBK,2022-06-17 17:25,84.20,51.80,32.73,260.00,6.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.48,EHBK 171725Z AUTO 26006KT 220V290 9999 NSC 29/11 Q1020 NOSIG,M
EHBK,2022-06-17 17:55,84.20,51.80,32.73,250.00,6.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.48,EHBK 171755Z AUTO 25006KT 210V280 9999 NSC 29/11 Q1020 NOSIG,M
EHBK,2022-06-17 18:25,82.40,55.40,39.58,240.00,6.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.75,EHBK 171825Z AUTO 24006KT 9999 NSC 28/13 Q1020 NOSIG,M
EHBK,2022-06-17 18:55,80.60,53.60,39.30,240.00,6.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.29,EHBK 171855Z AUTO 24006KT 220V280 9999 NSC 27/12 Q1020 NOSIG,M
EHBK,2022-06-17 19:25,80.60,53.60,39.30,240.00,6.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.29,EHBK 171925Z AUTO 24006KT 210V270 9999 NSC 27/12 Q1020 NOSIG,M
EHBK,2022-06-17 19:55,78.80,53.60,41.69,240.00,7.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,EHBK 171955Z AUTO 24007KT 210V270 9999 NSC 26/12 Q1020 NOSIG,M
EHBK,2022-06-17 20:25,75.20,55.40,50.17,220.00,7.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 172025Z AUTO 22007KT 9999 NSC 24/13 Q1020 NOSIG,M
EHBK,2022-06-17 20:55,73.40,55.40,53.29,210.00,7.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,EHBK 172055Z AUTO 21007KT 9999 NSC 23/13 Q1020 NOSIG,M
EHBK,2022-06-17 21:25,71.60,55.40,56.63,200.00,7.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,EHBK 172125Z AUTO 20007KT 9999 NSC 22/13 Q1020,M
EHBK,2022-06-17 21:55,73.40,55.40,53.29,200.00,8.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,EHBK 172155Z AUTO 20008KT 9999 NSC 23/13 Q1020,M
EHBK,2022-06-17 22:25,73.40,55.40,53.29,190.00,8.00,0.00,30.12,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,EHBK 172225Z AUTO 19008KT 9999 NSC 23/13 Q1020,M
EHBK,2022-06-17 22:55,73.40,55.40,53.29,200.00,9.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,EHBK 172255Z AUTO 20009KT 9999 NSC 23/13 Q1019,M
EHBK,2022-06-17 23:25,71.60,55.40,56.63,200.00,10.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,EHBK 172325Z AUTO 20010KT 9999 NSC 22/13 Q1019,M
EHBK,2022-06-17 23:55,71.60,55.40,56.63,200.00,12.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,EHBK 172355Z AUTO 20012KT 9999 NSC 22/13 Q1019,M
EHBK,2022-06-18 00:25,71.60,55.40,56.63,200.00,12.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,EHBK 180025Z AUTO 20012KT 9999 NSC 22/13 Q1019,M
EHBK,2022-06-18 00:55,71.60,55.40,56.63,210.00,11.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,EHBK 180055Z AUTO 21011KT 9999 NSC 22/13 Q1019,M
EHBK,2022-06-18 01:25,69.80,55.40,60.21,210.00,8.00,0.00,30.09,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,EHBK 180125Z AUTO 21008KT 9999 NCD 21/13 Q1019,M
EHBK,2022-06-18 01:55,69.80,55.40,60.21,200.00,9.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,EHBK 180155Z AUTO 20009KT 9999 NSC 21/13 Q1019,M
